clumps,CAPAD,SiteName,tmax_outsideNiche,rain_outsideNiche
1,NA,NA,1.1720309316289956,0
2,NA,NA,1.7373131062185188,0
1,NA,NA,1.6770899417277363,0
2,NA,NA,1.87703677603702,0
3,NA,NA,1.9174976738278957,0
1,NA,NA,1.4124846888023086,0
1,NA,NA,1.7904706276065063,0
2,NA,NA,1.913683720711461,0
2,NA,NA,1.9144503803511022,0
4,NA,NA,1.7784913090766032,0
2,NA,NA,1.8944167248621042,0
2,NA,NA,1.885582705702383,0
5,Agnes Banks Nature Reserve,Cumberland Plain,1.8544850970450426,0
5,Agnes Banks Nature Reserve,Cumberland Plain,1.893849455922382,0
2,NA,NA,1.817185598636211,0
2,NA,NA,1.7901756465220586,0
6,NA,NA,1.2934591626921907,0
5,Agnes Banks Nature Reserve,Cumberland Plain,1.8688701365574296,0
5,Agnes Banks Nature Reserve,Cumberland Plain,1.8857753979291978,0
5,NA,Cumberland Plain,1.8793076321488513,0
2,NA,NA,1.7558863332197951,0
5,Agnes Banks Nature Reserve,Cumberland Plain,1.8811709713707891,0
5,NA,Cumberland Plain,1.8792296559928303,0
5,NA,Cumberland Plain,1.8569593142221024,0
5,NA,Cumberland Plain,1.831709433306493,0
5,NA,Cumberland Plain,1.8041291567776128,0
5,NA,Cumberland Plain,1.7281873749832357,0
5,NA,Cumberland Plain,1.8782806834239842,0
5,NA,Cumberland Plain,1.8792759097519856,0
5,NA,Cumberland Plain,1.8533444830419405,0
7,Windsor Downs Nature Reserve,Cumberland Plain,1.7510742534531474,0
7,Windsor Downs Nature Reserve,Cumberland Plain,1.7452442923053546,0
5,NA,Cumberland Plain,1.865231654169417,0
5,NA,Cumberland Plain,1.8657388520957099,0
5,NA,Cumberland Plain,1.8208765706823513,0
5,NA,Cumberland Plain,1.7986948178757984,0
5,NA,Cumberland Plain,1.7766964948199195,0
5,NA,Cumberland Plain,1.7663280349905115,0
7,Windsor Downs Nature Reserve,Cumberland Plain,1.7613812028966684,0
7,Windsor Downs Nature Reserve,Cumberland Plain,1.7554510773699228,0
7,Windsor Downs Nature Reserve,Cumberland Plain,1.7483462359687785,0
5,NA,Cumberland Plain,1.8580151811817025,0
5,NA,Cumberland Plain,1.846973621043567,0
5,NA,Cumberland Plain,1.840263183499136,0
5,Castlereagh Nature Reserve,Cumberland Plain,1.8026987571366142,0
5,Castlereagh Nature Reserve,Cumberland Plain,1.7837302289316064,0
5,Castlereagh Nature Reserve,Cumberland Plain,1.7738581305249177,0
7,NA,Cumberland Plain,1.7615011137862169,0
8,NA,NA,1.7401472724500984,0
5,NA,Cumberland Plain,1.8212731601868875,0
5,NA,Cumberland Plain,1.8261561737466998,0
5,Castlereagh Nature Reserve,Cumberland Plain,1.82278060709179,0
5,Castlereagh Nature Reserve,Cumberland Plain,1.8077019414797988,0
5,Castlereagh Nature Reserve,Cumberland Plain,1.7917349803295046,0
5,Castlereagh Nature Reserve,Cumberland Plain,1.779971197654973,0
5,Wianamatta Nature Reserve,Cumberland Plain,1.813603631924284,0
5,Wianamatta Nature Reserve,Cumberland Plain,1.8100871116710877,0
5,Wianamatta Nature Reserve,Cumberland Plain,1.8147351669840006,0
5,Castlereagh Nature Reserve,Cumberland Plain,1.813243733123457,0
5,Castlereagh Nature Reserve,Cumberland Plain,1.8033321385460432,0
5,Castlereagh Nature Reserve,Cumberland Plain,1.7927904656708797,0
5,Wianamatta Nature Reserve,Cumberland Plain,1.8030553133908818,0
5,Wianamatta Nature Reserve,Cumberland Plain,1.7992687120788666,0
5,Castlereagh Nature Reserve,Cumberland Plain,1.7861743088244637,0
9,NA,NA,1.7521030517861291,0
10,Wianamatta Regional Park,NA,1.7103936043394974,0
10,Wianamatta Regional Park,NA,1.6467073378467063,0
11,NA,NA,1.6996040873784821,0
10,Wianamatta Regional Park,NA,1.6145266777932044,0
11,NA,NA,1.61191132783053,0
12,NA,NA,1.6344807291787298,0
12,NA,NA,1.5952051387491117,0
12,NA,NA,1.5799451425848297,0
13,Berowra Valley Regional Park,NA,0.07059570401755977,0
14,NA,NA,1.43143486722796,0
15,NA,NA,1.429825731259271,0
16,NA,NA,0.9717394629340212,0
17,NA,NA,1.0925022200388241,0
18,NA,NA,0.8735132415939475,0
19,NA,NA,1.3008030518921565,0
20,NA,NA,1.1994635601399857,0
20,NA,NA,1.1217013285180997,0
21,NA,NA,1.1737138594427847,0
21,NA,NA,1.102513449393964,0
21,NA,NA,1.0402073073955442,0
21,NA,NA,1.132333472786108,0
21,NA,NA,1.0465001922224388,0
22,Sydney Harbour National Park,NA,0.2728667384660781,0
23,NA,NA,1.034287740245727,0
24,NA,NA,1.122950190677777,0
25,NA,NA,0.7520229982483961,0
26,Leacock Regional Park,NA,0.8780477741900121,0
27,NA,NA,0.9062812525558961,0
27,NA,NA,0.8951924517861478,0
28,NA,NA,0.9475078297382744,0
27,NA,NA,0.8505286080693075,0
28,NA,NA,0.815764164857594,0
28,NA,NA,0.8341504631647823,0
28,NA,NA,0.8750628579593176,0
28,NA,NA,0.9127157428315975,0
29,NA,NA,0.6353883135911005,0
27,NA,NA,0.8055110706930151,0
28,NA,NA,0.7847747669432223,0
30,Georges River National Park,NA,0.7650325579230888,0
29,NA,NA,0.6006836281228196,0
29,NA,NA,0.664877703412639,0
29,NA,NA,0.7256243967075733,0
29,NA,NA,0.7055128629422569,0
31,Royal National Park,NA,0,0
32,NA,NA,0,97.64675005855247
